PAIS,SEXO,AÑO,OBS_VALUE,OECD
Netherlands,Female,2016,83.2,NO
Netherlands,Female,2015,83.2,NO
Netherlands,Total,2023,82,NO
Netherlands,Total,2022,81.7,NO
Netherlands,Total,2021,81.4,NO
Netherlands,Total,2020,81.4,NO
Netherlands,Male,2023,80.5,NO
Netherlands,Male,2022,80.2,NO
Netherlands,Male,2021,79.7,NO
Netherlands,Male,2020,79.7,NO
New Zealand,Total,2020,82.3,NO
New Zealand,Total,2019,82.1,NO
New Zealand,Total,2018,81.7,NO
New Zealand,Female,2019,83.9,NO
New Zealand,Female,2018,83.5,NO
New Zealand,Female,2017,83.4,NO
New Zealand,Female,2016,83.4,NO
New Zealand,Female,2015,83.3,NO
New Zealand,Total,2017,81.7,NO
New Zealand,Total,2016,81.6,NO
New Zealand,Total,2015,81.5,NO
New Zealand,Male,2022,80.3,NO
New Zealand,Male,2021,80.5,NO
New Zealand,Male,2020,80.5,NO
New Zealand,Male,2019,80.3,NO
New Zealand,Male,2018,80,NO
New Zealand,Male,2017,79.9,NO
New Zealand,Male,2016,79.8,NO
New Zealand,Male,2015,79.7,NO
New Zealand,Female,2022,83.7,NO
New Zealand,Female,2021,84,NO
New Zealand,Female,2020,84.1,NO
New Zealand,Total,2022,82,NO
Norway,Total,2020,83.3,NO
Norway,Total,2019,83,NO
Norway,Total,2018,82.8,NO
Norway,Male,2019,81.3,NO
Norway,Male,2018,81.1,NO
Norway,Male,2017,81,NO
Norway,Male,2016,80.7,NO
Norway,Male,2015,80.5,NO
Norway,Total,2017,82.7,NO
Norway,Total,2016,82.5,NO
Norway,Total,2015,82.4,NO
Norway,Female,2022,84.2,NO
Norway,Female,2021,84.7,NO
Norway,Female,2020,84.9,NO
Norway,Female,2019,84.7,NO
Norway,Female,2018,84.5,NO
Norway,Female,2017,84.3,NO
Norway,Female,2016,84.2,NO
Norway,Female,2015,84.2,NO
Norway,Male,2022,81,NO
Norway,Male,2021,81.7,NO
Norway,Male,2020,81.6,NO
Norway,Total,2022,82.6,NO
Poland,Female,2018,81.7,NO
Poland,Female,2017,81.8,NO
Poland,Female,2016,82,NO
Poland,Male,2019,74.1,NO
Poland,Male,2018,73.7,NO
Poland,Male,2017,73.9,NO
Poland,Male,2016,73.9,NO
Poland,Male,2015,73.5,NO
Poland,Female,2015,81.6,NO
Poland,Total,2023,78.6,NO
Poland,Total,2022,77.2,NO
Poland,Total,2021,75.4,NO
Poland,Total,2020,76.4,NO
Poland,Total,2019,78,NO
Poland,Total,2018,77.7,NO
Poland,Total,2017,77.8,NO
Poland,Total,2016,78,NO
Poland,Total,2015,77.5,NO
Poland,Male,2023,74.8,NO
Poland,Male,2022,73.4,NO
Poland,Male,2021,71.4,NO
Poland,Male,2020,72.4,NO
Poland,Female,2023,82.4,NO
Poland,Female,2022,81.1,NO
Poland,Female,2021,79.5,NO
Poland,Female,2020,80.6,NO
Portugal,Male,2018,78.3,NO
Portugal,Male,2017,78.4,NO
Portugal,Male,2016,78.1,NO
Portugal,Total,2019,81.9,NO
Portugal,Total,2018,81.5,NO
Portugal,Total,2017,81.6,NO
Portugal,Total,2016,81.3,NO
Portugal,Total,2015,81.3,NO
Portugal,Male,2015,78.1,NO
Portugal,Female,2023,85.2,NO
Portugal,Female,2022,84.5,NO
Portugal,Female,2021,84.4,NO
Portugal,Female,2020,84.1,NO
Portugal,Female,2019,84.8,NO
Portugal,Female,2018,84.5,NO
Portugal,Female,2017,84.6,NO
Portugal,Female,2016,84.3,NO
Portugal,Female,2015,84.3,NO
Portugal,Total,2023,82.4,NO
Portugal,Total,2022,81.8,NO
Portugal,Total,2021,81.5,NO
Portugal,Total,2020,81.1,NO
Portugal,Male,2023,79.5,NO
Portugal,Male,2022,78.9,NO
Portugal,Male,2021,78.5,NO
Portugal,Male,2020,78,NO
Slovak Republic,Total,2018,77.4,NO
Slovak Republic,Total,2017,77.3,NO
Slovak Republic,Total,2016,77.3,NO
Slovak Republic,Female,2019,81.2,NO
Slovak Republic,Female,2018,80.8,NO
Slovak Republic,Female,2017,80.7,NO
Slovak Republic,Female,2016,80.7,NO
Slovak Republic,Female,2015,80.2,NO
Slovak Republic,Total,2015,76.7,NO
